Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1719703225,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1719703226,100,,Aggregated,0.000000,0.000000,88,150,150,150,160,160,160,160,160,160,160,100,51,88,110.94341331801843,59.05279202852398,159.21245800564066,70.8
1719703227,200,,Aggregated,0.000000,0.000000,76,86,98,140,150,160,160,160,160,160,160,215,166,76,84.96286570565601,2.6272910181432962,159.21245800564066,94.97674418604652
1719703228,300,,Aggregated,36.000000,36.000000,71,81,87,93,140,150,160,160,160,160,160,367,318,71,70.76001476686149,1.5124590136110783,159.21245800564066,103.68392370572207
1719703229,400,,Aggregated,75.000000,50.500000,66,77,83,87,98,150,160,160,160,160,160,544,495,66,62.01896055041716,1.3482500216923654,159.21245800564066,107.69117647058823
1719703230,500,,Aggregated,86.333333,70.000000,60,73,80,85,94,140,150,160,160,160,160,782,733,60,53.77714818714501,1.0829160455614328,159.21245800564066,110.21994884910485
1719703231,600,,Aggregated,105.250000,93.000000,54,69,77,82,92,100,150,160,160,160,160,1037,988,54,48.43713058941893,1.0644159629009664,159.21245800564066,111.64127290260366
1719703232,700,,Aggregated,119.600000,109.800000,48,66,74,79,89,96,150,160,160,160,160,1323,1274,48,44.258125104539474,1.0010830010287464,159.21245800564066,112.58352229780802
1719703233,800,,Aggregated,138.333333,130.166667,42,63,72,78,88,95,150,150,160,160,160,1622,1573,41,41.65171018668706,1.0010830010287464,159.21245800564066,113.21331689272503
1719703234,900,,Aggregated,158.428571,151.428571,27,61,71,76,87,95,140,150,160,160,160,1978,1929,27,39.034063304612964,1.0010830010287464,159.21245800564066,113.71486349848331
1719703235,1000,,Aggregated,173.250000,167.125000,12,60,71,77,89,98,130,150,160,160,160,2376,2327,12,38.134986029047894,1.0010830010287464,159.21245800564066,114.0976430976431
1719703236,1100,,Aggregated,186.777778,181.333333,9,56,68,75,87,96,120,150,160,160,160,2799,2750,9,35.44730843587091,1.0010830010287464,159.21245800564066,114.38513754912469
1719703237,1200,,Aggregated,200.800000,195.900000,8,51,64,71,85,94,110,150,160,160,160,3289,3240,8,32.95663363587249,1.0010830010287464,159.21245800564066,114.62572210398298
1719703238,1300,,Aggregated,240.800000,235.900000,7,47,62,69,83,93,110,140,160,160,160,3750,3701,7,31.206028395984323,0.9492090321145952,159.21245800564066,114.79466666666667
1719703239,1400,,Aggregated,272.800000,272.800000,7,44,60,67,82,91,100,140,160,160,160,4249,4200,7,29.759743886807012,0.9492090321145952,159.21245800564066,114.93622028712639
1719703240,1500,,Aggregated,310.000000,310.000000,6,42,59,67,82,92,100,130,160,210,210,4792,4743,6,29.324124784602684,0.9492090321145952,209.91487498395145,115.0567612687813
1719703241,1600,,Aggregated,338.700000,338.700000,6,37,57,65,81,91,100,130,160,1000,1000,5381,5332,6,28.570782220595298,0.9492090321145952,1049.7088749543764,115.16000743356254
1719703242,1700,,Aggregated,366.000000,366.000000,6,35,57,66,83,93,110,130,160,1000,1000,5987,5938,6,28.470407077719923,0.9492090321145952,1049.7088749543764,115.24503090028395
1719703243,1800,,Aggregated,404.000000,404.000000,5,29,54,64,82,92,110,130,160,1000,1000,6647,6598,5,27.446375786958658,0.9492090321145952,1049.7088749543764,115.31999398224762
1719703244,1900,,Aggregated,428.300000,428.300000,5,23,52,62,81,91,100,120,160,1000,1000,7324,7275,5,26.385222656852864,0.9492090321145952,1049.7088749543764,115.38285090114691
1719703245,2000,,Aggregated,465.600000,465.600000,5,20,51,62,82,92,100,120,210,1000,1000,8031,7982,5,26.126925049115066,0.8970830240286887,1049.7088749543764,115.43718092391981
1719703246,2100,,Aggregated,502.500000,502.500000,5,17,50,61,80,91,100,120,1000,1100,1100,8777,8728,5,26.231130232691598,0.8970830240286887,1065.99508295767,115.48501765979265
1719703247,2200,,Aggregated,532.100000,532.100000,4,16,48,59,79,90,100,120,1000,1100,1100,9595,9546,4,25.521974252841915,0.8970830240286887,1065.99508295767,115.52892131318394
1719703248,2300,,Aggregated,565.100000,565.100000,4,12,46,58,78,89,100,120,220,1100,1100,10365,10316,4,24.75984286879348,0.8970830240286887,1065.99508295767,115.56391702846116
1719703249,2400,,Aggregated,595.900000,595.900000,4,10,44,56,77,88,100,120,220,1100,1100,11230,11181,4,23.895195020769723,0.8970830240286887,1065.99508295767,115.59750667853963
1719703250,2500,,Aggregated,629.400000,629.400000,4,10,42,54,76,87,99,110,220,1100,1100,12115,12066,4,23.295886129382236,0.8970830240286887,1065.99508295767,115.62690879075527
1719703251,2600,,Aggregated,662.200000,662.200000,4,9,41,53,76,86,98,110,210,1100,1100,13003,12954,4,22.82835155072665,0.8970830240286887,1065.99508295767,115.65238791048219
1719703252,2700,,Aggregated,703.500000,703.500000,4,8,40,52,75,85,97,110,210,1100,1100,13983,13934,4,22.21126301805342,0.8970830240286887,1065.99508295767,115.6767503396982
1719703253,2800,,Aggregated,730.400000,730.400000,3,8,38,51,74,85,96,110,210,1100,1100,14917,14868,3,21.777273942010762,0.8970830240286887,1065.99508295767,115.6969900113964
1719703254,2900,,Aggregated,766.600000,766.600000,3,8,38,51,75,85,98,110,210,1100,1100,15936,15887,3,21.716110738514793,0.8970830240286887,1065.99508295767,115.71636546184739
1719703255,3000,,Aggregated,800.400000,800.400000,3,8,40,52,75,85,98,110,1000,1100,1100,16371,16322,3,22.44104821620205,0.8970830240286887,1079.2599999695085,115.72390202186794
1719703256,3100,,Aggregated,824.600000,824.600000,3,9,40,52,75,85,98,110,1000,1100,1100,16472,16423,3,22.648429507744734,0.8970830240286887,1079.2599999695085,115.72559494900437
1719703257,3200,,Aggregated,824.600000,824.600000,3,9,40,52,75,85,98,110,1000,1100,1100,16472,16423,3,22.648429507744734,0.8970830240286887,1079.2599999695085,115.72559494900437
1719703258,3300,,Aggregated,827.600000,827.600000,3,10,41,53,75,85,97,110,1000,1100,1100,16635,16586,3,22.832851879698143,0.8970830240286887,1079.2599999695085,115.7282837391043
1719703259,3400,,Aggregated,763.500000,763.500000,4,10,42,54,75,86,100,120,1000,1100,1100,16720,16671,4,23.167674617274244,0.8970830240286887,1079.2599999695085,115.72966507177034
1719703260,3500,,Aggregated,681.900000,681.900000,4,10,42,53,75,86,100,120,1000,1100,1100,16812,16763,4,23.13706013446115,0.8970830240286887,1079.2599999695085,115.73114442065192
1719703261,3600,,Aggregated,620.500000,620.500000,4,11,42,54,75,86,100,120,1000,1100,1100,16990,16941,4,23.70252664933919,0.8970830240286887,1079.2599999695085,115.73396115361977
1719703262,3700,,Aggregated,542.700000,542.700000,4,13,43,55,76,87,100,130,1100,6800,6800,17209,17160,4,27.111151726364884,0.8970830240286887,6775.265415955801,115.73734673717242
1719703263,3800,,Aggregated,464.700000,464.700000,4,14,44,56,76,87,100,120,1100,6800,6800,17474,17425,4,27.340726532936813,0.8970830240286887,6775.265415955801,115.74132997596429
1719703264,3900,,Aggregated,393.800000,393.800000,4,15,44,56,77,88,100,120,1100,6800,6800,17751,17702,4,27.557174885663162,0.8970830240286887,6775.265415955801,115.7453664582277
1719703266,4000,,Aggregated,317.000000,317.000000,4,16,45,56,77,88,100,120,1100,6800,6800,18025,17976,4,27.634199723487026,0.8970830240286887,6775.265415955801,115.74923717059639
1719703267,4100,,Aggregated,176.900000,176.900000,4,17,46,58,78,90,110,140,1100,6800,6800,18425,18376,4,28.394332660300204,0.8970830240286887,6775.265415955801,115.75468113975576
1719703268,4200,,Aggregated,165.400000,165.400000,4,18,47,59,79,93,120,150,1300,6800,6800,18865,18816,4,30.0821878129726,0.8970830240286887,6775.265415955801,115.76040286244368
